instances	feature_nb_cars	feature_nb_options	feature_nb_classes	feature_min_util	feature_avg_util	feature_max_util	feature_std_util	feature_avg_options	feature_min_pq_ratio	feature_avg_pq_ratio	feature_max_pq_ratio	feature_std_pq_ratio	feature_lcm_q_vals	feature_class_pop	algo_H	algo_F1u	algo_F1i	algo_IIu	algo_IIi	algo_IDu	algo_IDi	algo_IBu	algo_IBi	algo_F2u	algo_F2i	algo_F2Iu	algo_F2Ii	algo_F2Du	algo_F2Di	algo_F2Bu	algo_F2Bi
feb_30_222.in	0.296395	0.230769	0.461538	0.0585586	0.377628	0.513514	0.150557	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	33.644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_31_246.in	0.328438	0.230769	0.461538	0.0691057	0.446477	0.808943	0.247583	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	35.3597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_32_287.in	0.383178	0.230769	0.461538	0.00348432	0.380952	0.703833	0.26463	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	44.2514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_3_310.in	0.413885	0.230769	0.461538	0.00322581	0.381183	0.622581	0.250386	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	42.3013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_33_406.in	0.542056	0.230769	0.461538	0.00246305	0.436371	0.807882	0.301666	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	58.0327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_34_358.in	0.477971	0.230769	0.461538	0.0027933	0.409683	0.709497	0.288376	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	49.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_35_325.in	0.433912	0.230769	0.461538	0.187692	0.481538	0.729231	0.230021	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	43.7897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_36_226.in	0.301736	0.230769	0.461538	0.00442478	0.398968	0.853982	0.298385	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	30.3061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_37_1.in	0.00133511	0.230769	0.461538	1	1	1	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.454742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_38_376.in	0.502003	0.230769	0.461538	0.00265957	0.271277	0.800532	0.289515	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	63.5663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_39_749.in	1	0.230769	0.461538	0.00133511	0.352025	0.934579	0.328497	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	119.733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_40_406.in	0.542056	0.230769	0.461538	0.00246305	0.337849	0.600985	0.222869	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	58.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_41_308.in	0.411215	0.230769	0.461538	0.00324675	0.361472	0.821429	0.269191	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	46.3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_4_191.in	0.255007	0.230769	0.461538	0.0052356	0.487784	0.675393	0.227501	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	27.1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_42_373.in	0.497997	0.230769	0.461538	0.00268097	0.504915	0.895442	0.297074	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	47.3619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_43_353.in	0.471295	0.230769	0.461538	0.00283286	0.394712	0.620397	0.233224	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	44.8587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_44_201.in	0.268358	0.230769	0.461538	0.00497512	0.375622	0.810945	0.296563	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	28.1702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_45_385.in	0.514019	0.230769	0.461538	0.0025974	0.383117	0.672727	0.254509	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	50.6418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_46_335.in	0.447263	0.230769	0.461538	0.00298507	0.3199	0.59403	0.213054	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	48.211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_47_187.in	0.249666	0.230769	0.461538	0.00534759	0.550802	0.850267	0.306326	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	24.4014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_48_396.in	0.528705	0.230769	0.461538	0.00252525	0.458754	0.580808	0.206843	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	54.472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_49_381.in	0.508678	0.230769	0.461538	0.0761155	0.325897	0.548556	0.191376	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	54.5578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_50_223.in	0.29773	0.230769	0.461538	0.309417	0.472347	0.659193	0.135761	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	28.1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_51_1.in	0.00133511	0.230769	0.461538	1	1	1	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.454742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_5_1.in	0.00133511	0.230769	0.461538	1	1	1	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.454742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_52_164.in	0.218959	0.230769	0.461538	0.22561	0.462398	0.79878	0.203529	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	22.9103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_53_393.in	0.5247	0.230769	0.461538	0.00254453	0.234521	0.513995	0.181831	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	62.906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_54_340.in	0.453939	0.230769	0.461538	0.0911765	0.428431	0.779412	0.254389	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.8695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_55_226.in	0.301736	0.230769	0.461538	0.00442478	0.351032	0.787611	0.28264	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	32.3284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_56_1.in	0.00133511	0.230769	0.461538	1	1	1	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.454742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_57_0.in	0	0.230769	0.461538	1	inf	inf	-nan	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.444444	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
feb_6_156.in	0.208278	0.230769	0.461538	0.00641026	0.486111	0.698718	0.243601	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	22.5642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_7_394.in	0.526035	0.230769	0.461538	0.0329949	0.482234	0.654822	0.210726	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	51.7028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_8_377.in	0.503338	0.230769	0.461538	0.145889	0.535367	0.750663	0.216482	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	46.7068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_9_219.in	0.29239	0.230769	0.461538	0.150685	0.43379	0.579909	0.147539	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	27.2744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_0_103.in	0.137517	0.230769	0.461538	0.00970874	0.218447	0.504854	0.219165	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	17.7806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_10_173.in	0.230975	0.230769	0.461538	0.00578035	0.23025	0.427746	0.151301	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	28.2955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_1_111.in	0.148198	0.230769	0.461538	0.00900901	0.276276	0.630631	0.256014	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	18.0248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_11_351.in	0.468625	0.230769	0.461538	0.139601	0.399335	0.584046	0.161654	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	48.6187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_12_307.in	0.40988	0.230769	0.461538	0.100977	0.482628	0.680782	0.187501	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	39.2179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_13_174.in	0.23231	0.230769	0.461538	0.00574713	0.391762	0.66092	0.204876	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	23.7517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_14_384.in	0.512684	0.230769	0.461538	0.00260417	0.346354	0.541667	0.223569	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	52.4413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_15_250.in	0.333778	0.230769	0.461538	0.004	0.405333	0.64	0.222383	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	32.3215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_16_80.in	0.106809	0.230769	0.461538	0.0125	0.377083	0.5375	0.173568	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	11.1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_17_8.in	0.0106809	0.230769	0.461538	0.125	0.354167	0.875	0.27402	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.968644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_18_175.in	0.233645	0.230769	0.461538	0.00571429	0.386667	0.742857	0.246172	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	24.5964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_19_411.in	0.548732	0.230769	0.461538	0.00243309	0.265207	0.552311	0.211683	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	62.7203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_20_380.in	0.507343	0.230769	0.461538	0.223684	0.469298	0.755263	0.198119	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	50.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_21_144.in	0.192256	0.230769	0.461538	0.256944	0.483796	0.729167	0.163535	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	21.2336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_22_229.in	0.305741	0.230769	0.461538	0.240175	0.511645	0.720524	0.184243	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	33.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_2_223.in	0.29773	0.230769	0.461538	0.0313901	0.411061	0.623318	0.217025	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	29.2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_23_308.in	0.411215	0.230769	0.461538	0.0616883	0.487013	0.698052	0.230619	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	44.7461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_24_182.in	0.242991	0.230769	0.461538	0.00549451	0.467949	0.730769	0.253014	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	26.6686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_25_376.in	0.502003	0.230769	0.461538	0.0824468	0.417553	0.598404	0.178694	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	57.5414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_26_43.in	0.0574099	0.230769	0.461538	0.0232558	0.418605	0.860465	0.300831	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	6.02182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_27_155.in	0.206943	0.230769	0.461538	0.00645161	0.46129	0.896774	0.357735	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	22.2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_28_1.in	0.00133511	0.230769	0.461538	1	1	1	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.454742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_29_213.in	0.284379	0.230769	0.461538	0.14554	0.42723	0.530516	0.131372	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	30.6595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_30_371.in	0.495327	0.230769	0.461538	0.0997305	0.278976	0.530997	0.147402	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	60.7876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_31_369.in	0.492657	0.230769	0.461538	0.0514905	0.335592	0.498645	0.161525	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	57.6537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_32_217.in	0.28972	0.230769	0.461538	0.00460829	0.325653	0.571429	0.231253	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	32.1513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_3_309.in	0.41255	0.230769	0.461538	0.0614887	0.443905	1.00324	0.304135	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.9263	0.00653595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_33_388.in	0.518024	0.230769	0.461538	0.0180412	0.350945	0.60567	0.245231	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	58.7349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_34_376.in	0.502003	0.230769	0.461538	0.0664894	0.478723	0.917553	0.312369	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	47.2918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_35_199.in	0.265688	0.230769	0.461538	0.00502513	0.450586	0.919598	0.353593	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	24.0112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_36_372.in	0.496662	0.230769	0.461538	0.00268817	0.344534	0.760753	0.288134	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	55.1722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_37_357.in	0.476636	0.230769	0.461538	0.00280112	0.402428	0.655462	0.284989	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	46.7119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_38_96.in	0.128171	0.230769	0.461538	0.135417	0.458333	0.635417	0.202344	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	11.0643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_39_319.in	0.425901	0.230769	0.461538	0.0407524	0.405956	0.605016	0.18519	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	43.7358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_40_315.in	0.420561	0.230769	0.461538	0.0031746	0.325397	0.55873	0.184598	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	46.0465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_41_207.in	0.276368	0.230769	0.461538	0.00483092	0.355072	0.565217	0.182997	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	29.2993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_42_347.in	0.463284	0.230769	0.461538	0.00288184	0.336215	0.654179	0.253508	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	46.1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_43_300.in	0.400534	0.230769	0.461538	0.00333333	0.326667	0.536667	0.217783	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	41.3559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_4_331.in	0.441923	0.230769	0.461538	0.305136	0.43857	0.558912	0.0924362	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.7413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_44_0.in	0	0.230769	0.461538	1	inf	inf	-nan	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.444444	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
jan_5_166.in	0.221629	0.230769	0.461538	0.0060241	0.417671	0.710843	0.214362	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	23.6939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_6_383.in	0.511348	0.230769	0.461538	0.112272	0.33812	0.723238	0.19585	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	61.3331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_7_370.in	0.493992	0.230769	0.461538	0.0891892	0.332883	0.610811	0.16269	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	57.4888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_8_325.in	0.433912	0.230769	0.461538	0.00307692	0.284103	0.513846	0.188428	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	49.1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
jan_9_1.in	0.00133511	0.230769	0.461538	1	1	1	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.454742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_0_1.in	0.00133511	0.230769	0.461538	1	1	1	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.454742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_10_215.in	0.287049	0.230769	0.461538	0.0604651	0.455039	0.665116	0.19734	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	26.7118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_1_102.in	0.136182	0.230769	0.461538	0.00980392	0.398693	1.03922	0.353968	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	13.3844	0.010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_11_381.in	0.508678	0.230769	0.461538	0.023622	0.533246	0.774278	0.273573	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.0839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_12_375.in	0.500668	0.230769	0.461538	0.056	0.479556	0.770667	0.239765	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_13_103.in	0.137517	0.230769	0.461538	0.00970874	0.503236	0.660194	0.229094	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	11.8456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_14_371.in	0.495327	0.230769	0.461538	0.00269542	0.515723	1.03774	0.342218	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	49.1593	0.010989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_15_389.in	0.519359	0.230769	0.461538	0.033419	0.48886	0.727506	0.248239	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	48.918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_16_220.in	0.293725	0.230769	0.461538	0.00454545	0.442424	0.695455	0.236082	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	28.9292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_17_354.in	0.47263	0.230769	0.461538	0.10452	0.483992	0.816384	0.242531	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	43.3587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_18_382.in	0.510013	0.230769	0.461538	0.206806	0.445899	0.683246	0.184108	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	50.6695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_19_408.in	0.544726	0.230769	0.461538	0.230392	0.504085	0.776961	0.180097	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	52.9069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_20_1.in	0.00133511	0.230769	0.461538	1	1	1	0	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	0.454742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_21_205.in	0.273698	0.230769	0.461538	0.0829268	0.545528	0.853659	0.26855	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	25.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
mar_22_402.in	0.536716	0.230769	0.461538	0.141791	0.598259	0.912935	0.259549	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.9175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
